artist,spotify_url,day,genre,note,songs,song_count,original_songs,review_status,review_notes,sources,related_artists,spotify_image_url,spotify_image_source,spotify_image_note,spotify_top5_tracks,spotify_top5_source,spotify_top5_note
Slayyyter,https://open.spotify.com/artist/4QM5QCHicznALtX885CnZC,Friday,Hyperpop / PC Music,"2025 set — trashy, campy, unapologetic. The best bad girl in pop.",BEAT UP CHANEL$|Daddy AF|Erotic Electronic|I Love Hollywood!|Starfucker|$T. LOSER|Miss Belladonna|No Comma|Out of Time|ATTENTION!|Broke Bitch|Purrr,12,BEAT UP CHANEL$|Daddy AF|Erotic Electronic|I Love Hollywood!|Starfucker|Saint Loser|Miss Belladonna|No Comma|Broke Bitch|Purrr,reviewed - corrected,"Mostly right originally, but corrected Saint Loser to $T. LOSER and added frequent 2025 live songs seen in recent festival/club sets.",https://www.setlist.fm/setlists/slayyyter-4bc9ff2e.html; https://www.setlist.fm/setlist/slayyyter/2025/credit-union-1-amphitheatre-tinley-park-il-1b5999c0.html,Ninajirachi; Jane Remover; Sabrina Carpenter; Dijon; KATSEYE,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174ebca70933965db1daad76725,Spotify oEmbed thumbnail_url,,CRANK | DANCE... | OLD TECHNOLOGY | BEAT UP CHANEL$ | CANNIBALISM!,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Prospa,https://open.spotify.com/artist/6HabM2PUM519iIxervGWSb,Friday,Electronic / DJ,UK electronic producer and DJ — known for melodic club music.,This Rhythm|Love Songs|La Futura|Church,4,This Rhythm|Love Songs|La Futura|Church,,,,Levity; Marlon Hoffstadt; Max Styler; Max Dean x Luke Dean; Arodes,https://image-cdn-fa.spotifycdn.com/image/ab676161000051742a631f3c1f457b3cfbeb441f,Spotify oEmbed thumbnail_url,,This Rhythm (feat. RAHH) | Love Songs (feat. Kosmo Kint) | Don't Stop | You Don't Own Me (feat. RAHH) | I Want Your Soul - Prospa Remix,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Hot Mulligan,https://open.spotify.com/artist/1lKZzN2d4IqiEYxyECIEHI,Friday,Pop Punk / Emo,Beloved midwest emo/pop-punk band.,Moving to Bed Bug Island|And a Big Load|It Smells Like Fudge Axe in Here|Island in the Sun|Bon Jonah|This Makes Me Yummy|Monica Lewinskibidi|How Do You Know It's Not Armadillo Shells?|Fly Move (The Whole Time)|Cream of Wheat of Feet Naw Cream of (feat.)|Mix Master Wade on the Beat|Gans Media Retro Games|Carbon Monoxide Hotel|No Shoes in the Coffee Shop (Or Socks)|Drink Milk and Run|Shhhh! Golf Is On|Monster Burger and a $5 Beer|Stickers of Brian|Let Me See Your Mounts|Slumdog Scungillionaire|This Makes Me Yucky|*Equip Sunglasses*|BCKYRD,23,Moving to Bed Bug Island|And a Big Load|It Smells Like Fudge Axe in Here|Island in the Sun|Bon Jonah|This Makes Me Yummy|Monica Lewinskibidi|How Do You Know It's Not Armadillo Shells?|Fly Move (The Whole Time)|Cream of Wheat of Feet Naw Cream of|Mix Master Wade on the Beat|Gans Media Retro Games|Carbon Monoxide Hotel|No Shoes in the Coffee Shop (Or Socks),reviewed - corrected,Original list was partly right but truncated. Updated to a full recent 2025 headlining setlist including encore.,https://www.setlist.fm/setlist/hot-mulligan/2025/mission-ballroom-denver-co-2b45b05a.html,Motion City Soundtrack; Joyce Manor; Turnstile; Devo; Fleshwater,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174f39d742e60fa4e7246c133d4,Spotify oEmbed thumbnail_url,,*Equip Sunglasses* | BCKYRD | How Do You Know It’s Not Armadillo Shells? | And a Big Load | No Shoes in the Coffee Shop (Or Socks),Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Hamdi,https://open.spotify.com/artist/7vvicoei9BbKpZix8qSeLg,Friday,Dubstep / Bass,Heavy and precise dubstep and bass music.,Spitfire|Gassed Up|Jungle Warfare|Flipped Out|Shook,5,Spitfire|Gassed Up|Jungle Warfare|Flipped Out|Shook,,,,Subtronics; Worship; PinkPantheress,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174f20a26b11dfdbd843b8fac9c,Spotify oEmbed thumbnail_url,,OK OK - Hamdi remix | Push | Counting - Taiki Nulight Remix | Skanka - P Money Vocal Dub | Counting,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Fleshwater,https://open.spotify.com/artist/6P5ccCJCe8A4s9tDSTNFzF,Friday,Post-Hardcore / Shoegaze,Brutally emotional — best underground rock act on the bill.,Drowning Song|Green Street|Jetpack|Enjoy|Linda Claire|What Was Really Said|Last Escape|Be Your Best|Kiss the Ladder|The Razor's Apple|Woohoo|Baldpate Driver|Closet|Standalone|Foreign,15,We're Not Here to Be Loved|Anesthetized Lesson|Gold Headphones|A Body in a Bed|Concrete Conundrum|Better Yet Stay|Cut the Cord|Skinny Jeans|Tooth Tooth Claw,reviewed - corrected,Original row appeared almost entirely hallucinated. Replaced with songs repeatedly appearing across late-2025 setlists.,https://www.setlist.fm/setlist/fleshwater/2025/930-club-washington-dc-5b44931c.html; https://www.setlist.fm/setlist/fleshwater/2025/the-fonda-theatre-los-angeles-ca-6b45f6e2.html; https://www.setlist.fm/setlist/fleshwater/2025/paradise-rock-club-boston-ma-7345f6d1.html,NewDad; Jane Remover; Joyce Manor; Interpol; Geese,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174a1726163ae16ff6fd8acb7e2,Spotify oEmbed thumbnail_url,,Kiss the Ladder | Closet | The Razor's Apple | Linda Claire | Woohoo,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Max Styler,https://open.spotify.com/artist/3NKKngINK1tP6BFy0WOyWk,Friday,Electronic / DJ,DJ and producer — known for high-energy sets.,I Know You Want To|Let Go|Wanna Dance|Need You Tonight|Stars|Get Set|Give Me the Rhythm|Hypnotic|Lights Out|Rhythm Machine|Addiction|You & Me,12,I Know You Want To|Wanna Dance|Need You Tonight|Touch|Lights Out|Party Train,reviewed - corrected,"Original row looked incomplete/hallucinated. Replaced with visible tracks from 2025 setlist/stat pages; several DJ-set IDs remain unknown, so this is medium-confidence.",https://www.setlist.fm/stats/average-setlist/max-styler-7bc38630.html?year=2025; https://www.setlist.fm/setlists/max-styler-7bc38630.html; https://www.setlist.fm/setlist/max-styler/2025/the-concourse-project-austin-tx-435983a3.html,Levity; Marlon Hoffstadt; Prospa; Max Dean x Luke Dean; Arodes,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174ded53da461b13994a9ef8347,Spotify oEmbed thumbnail_url,,London's On Fire | I Know You Want To | Greece 2000 - Max Styler Rework | You & Me | You & Me - Vintage Culture Remix,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Wednesday,https://open.spotify.com/artist/4j7DrazfBZLLD0OrVoAtEe,Friday,Country / Noise Rock,Heavy country-rock noise. Unexpectedly moving.,Reality TV Argument Bleeds|Got Shocked|Fate Is...|Wound Up Here (By Holdin On)|Hot Rotten Grass Smell|Phish Pepsi|Chosen to Deserve|Townies|Wasp|Bitter Everyday|Candy Breath|Elderberry Wine|Pick Up That Knife|Bath County|Bull Believer,15,Quarry|Bull Believer|Who's Gonna Love Me Now?|Formula One|What's So Funny|Bath County|Chosen to Deserve|Kool Trick|How Can You Love Me|Got Surprised,reviewed - corrected,Original row was very off from 2025 live material. Rebuilt from multiple 2025 setlist snippets and repeated album tracks seen in late-2025 shows.,https://www.setlist.fm/setlist/wednesday/2025/majestic-theatre-detroit-mi-33441861.html; https://www.setlist.fm/setlist/wednesday/2025/930-club-washington-dc-634caaa7.html; https://www.setlist.fm/setlist/wednesday/2025/tom-mccall-waterfront-park-portland-or-3b4290e4.html,Turnstile; Carolina Durante; The Strokes; Interpol; Alex G,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174cbf22720296d758d8b373a85,Spotify oEmbed thumbnail_url,,Elderberry Wine | Townies | Wound Up Here (By Holdin On) | Reality TV Argument Bleeds | Phish Pepsi,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Dabeull,https://open.spotify.com/artist/7sw3xJMTpdcpfssx17hfrb,Friday,Funk / Electronic,French funk/electronic artist — groovy and smooth.,"Sweet Baby|Messages From the Stars|Dr Fonk|Look in The Mirror|New Order|Body Heat|Day n Night|DX7|So Ruff, So Tuff / / More Bounce|Dance floor|Glitter Fonk|You and I|Maniac|Sexy Chocolat",14,Sweet Baby|Messages From the Stars|Dr Fonk|Body Heat|Look in The Mirror|DX7|Day n Night|Glitter Fonk|You and I|Maniac|In My Mind|Sexy Chocolat|Joy Ride|New Order,reviewed - corrected,Original row was partly right but had unsupported extras. Rebased on 2025 festival and club setlists.,https://www.setlist.fm/setlists/dabeull-43dcf72b.html; https://www.setlist.fm/stats/dabeull-43dcf72b.html?year=2025,Nine Inch Noize; Disclosure; Moby; fakemink; Groove Armada,https://image-cdn-fa.spotifycdn.com/image/ab6761610000517487063f650fb98fb1af8556d3,Spotify oEmbed thumbnail_url,,You & I | Don't Forget It | Messages from the Stars | DX7 - Indastudio 10 | Day & Night,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
The Two Lips,https://open.spotify.com/artist/2jXaKP1SGZBThNf6lVHCdo,Friday,Indie Pop,Emerging indie pop duo.,blossom|do you even know?|talk|clue|SICK!|still love you (todavía)|favorite apple|pretty funny|Joel,9,blossom|do you even know?|talk|clue|SICK!|still love you (todavía)|favorite apple|pretty funny|Joel,,,,Dijon; Foster the People; Lykke Li; flowerovlove; rusowsky,https://image-cdn-ak.spotifycdn.com/image/ab676161000051743f28b9718a67e027f5eba2f4,Spotify oEmbed thumbnail_url,,still love you (todavía) | favorite apple | blossom | clue | SICK!,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Ninajirachi,https://open.spotify.com/artist/3MekbRujJg5VZThubOlrkR,Friday,Hyperpop / Electronic,Australian hyperpop rising star — chaotic and infectious.,London Song|Ninacamina|Undo U|Hand on my heart|iPod Touch|CSIRAC|girl EDM|It's You|Fuck My Computer|Infohazard|Wayside|ice u out|Battery Death|SHYPOP|Angel Music|All I Am|Delete,17,London Song|Ninacamina|Undo U|iPod Touch|Hand on my heart|CSIRAC|girl EDM|It's You (with daine)|Fuck My Computer|Infohazard|ice u out|SHYPOP (with ISOxo),reviewed - corrected,Expanded and reordered using 2025 average setlist; original row was mostly right but omitted several frequent live staples.,https://www.setlist.fm/stats/average-setlist/ninajirachi-63cd0af7.html?year=2025,fakemink; Jessica Brankka; flowerovlove; Labrinth; Noga Erez,https://image-cdn-fa.spotifycdn.com/image/ab676161000051749ab4772c0bd3455137b1d02e,Spotify oEmbed thumbnail_url,,iPod Touch | Fuck My Computer | Delete | Heaven | All I Am,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Max Dean x Luke Dean,https://open.spotify.com/artist/65TLDWbTJxYASqadmNAxvc,Friday,Electronic / DJ,DJ duo.,,0,,,,,Levity; Marlon Hoffstadt; Prospa; Max Styler; Arodes,https://image-cdn-fa.spotifycdn.com/image/ab676161000051745908620bcbe1c73de2ae008f,Spotify oEmbed thumbnail_url,Spotify URL resolves to Max Dean; image may represent one act within the combined billing.,Can't Decide | Gets Like That | Reckless (2024) | No Hesitating - Max Dean Remix | The Finest,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Cachirula & Loojan,https://open.spotify.com/artist/5vcFoQxKd0ZpA178xDU12G,Friday,Electronic / Latin,,,0,,,,,Los Hermanos Flores; Mëstiza; Nine Inch Noize; Disclosure; Moby,https://image-cdn-fa.spotifycdn.com/image/ab6761610000517465f1c2b41959c7f8a7f0aef4,Spotify oEmbed thumbnail_url,Spotify URL resolves to Cachirula; image may represent one act within the combined billing.,CHINGON 2 | BEIBY - Remix | SUPREME | Chaparrita (Remix) | Dime si recuerdas,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Jessica Brankka,https://open.spotify.com/artist/0bC8yGVqpx20z9mLADTooz,Friday,Electronic / Pop,Swedish electronic pop artist.,,0,,,,,fakemink; WHATMORE; COBRAH; RØZ; LE YORA,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174db6a9f4606571228b2862297,Spotify oEmbed thumbnail_url,,Too Many Roads - Radio Mix | Too Many Roads - Fahlberg Remix Radio Edit | Too Many Roads - Extended Mix | Musk - OMRI. Remix | Care Of,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Chloé Caillet x Rossi,https://open.spotify.com/artist/68ywCN6ZpInbcilOfLBa3a,Friday,House / DJ,"French house rising stars. Elegant, deep, driving sets.",,0,,,,,Green Velvet × AYYBO; Carlita x Josh Baker; Sander Kleinenberg; Zerb; Josh Baker x Carlita,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174d9c554b0dd600c7cbcc70df4,Spotify oEmbed thumbnail_url,Spotify URL resolves to Chloé Caillet; image may represent one act within the combined billing.,The One (feat. Jocelyn Brown) | Come Back 2 Me | The One (feat. Jocelyn Brown) [Obskür Remix] | Paris - Chloé Caillet Remix | The One (feat. Jocelyn Brown) [Extended Mix],Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Arodes,https://open.spotify.com/artist/4p2f8wUtltMAFuIJB4NR47,Friday,Electronic / DJ,,Reborn|Luci|Waves|Butterflies|Kidz|When You're With Me|Illusion|Sale El Sol|Nuit d'Amour|Starseeds,10,Reborn|Luci|Waves|Butterflies|Kidz|When You're With Me|Illusion|Sale El Sol|Nuit d'Amour|Starseeds,,,,Levity; Marlon Hoffstadt; Prospa; Max Styler; Max Dean x Luke Dean,https://image-cdn-fa.spotifycdn.com/image/ab676161000051742dcd979c51e8baf6d2bc3df3,Spotify oEmbed thumbnail_url,,If Your Girl Only Knew | Kidz | Use Somebody | Teenage Crime - Francis Mercier Edit | Too Young,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
NewDad,https://open.spotify.com/artist/1yz8XixOiIJJ9IxjbnfYV6,Friday,Shoegaze / Dream Pop,"Irish dream-pop band — hazy, beautiful guitar textures.",Other Side|Heavyweight|Sickly Sweet|Entertainer|Pretty|Nightmares|Puzzle|Let Go|Everything I Wanted|Blue|Misery|Sinking Kind of Feeling|Angel|Roobosh,14,Everything I Wanted|Sickly Sweet|Heavyweight|Entertainer|Pretty|Nightmares|Puzzle|Let Go|Blue|Angel|In My Head|Madra|Where I Go|White Ribbons|I Don't Recognise You|Slowly,reviewed - corrected,Rebuilt from 2025 average setlist. Removed multiple songs from the original row that were not present in the recent average setlist source.,https://www.setlist.fm/stats/average-setlist/newdad-6bf326ca.html?year=2025,Jane Remover; Fleshwater; Tomora; Dijon; Foster the People,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174cae479ff7a07b3c1de9d0ce4,Spotify oEmbed thumbnail_url,,Angel | Blue | Sickly Sweet | Where I Go | Dream of Me,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Carolina Durante,https://open.spotify.com/artist/2BVE7Pqd8kxv9xEsuvoJoE,Friday,Indie Rock / Spanish,"Spanish indie rock band — huge in Spain, charismatic live act.",Joderse la vida|Aaaaaa#$!&|Misil|Famoso en tres calles|Tempo|Niña de hielo|El parque de las balas|Tomé café|KLK|Cementerio (El último parque)|Cayetano|Casa Kira,12,Joderse la vida|Aaaaaa#$!&|Misil|Famoso en tres calles|Tempo|Niña de hielo|El parque de las balas|Tomé café|KLK|Cementerio (El último parque)|Cayetano|Casa Kira,,,,The Strokes; Interpol; Geese; rusowsky; Blondshell,https://image-cdn-ak.spotifycdn.com/image/ab676161000051744319e5184793385c14ff15aa,Spotify oEmbed thumbnail_url,,Yo pensaba que me había tocado Dios | Normal | Hamburguesas | Joderse La Vida | Probablemente Tengas Razón,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
flowerovlove,https://open.spotify.com/artist/1JspXUvEv3D9ddMeLNqYWj,Friday,Indie Pop / Electronic,Emerging ethereal indie pop artist.,breaking news|BOYS|I've seen ur ex|a girl like me|new friends,5,BOYS|ARE U SERIOUS?|a girl like me|congrats! u did it!|I've seen ur ex|new friends|breaking news|Muse|Erase U|Will We Ever Get This Right|Coffee Shop|Next Best Exit,reviewed - corrected,Recent festival setlist source only showed a short 5-song set; removed extra unsupported songs from the original row.,https://www.setlist.fm/setlist/flowerovlove/2025/hyde-park-london-england-43479bd3.html,Dijon; Foster the People; Lykke Li; fakemink; The Two Lips,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174825d1ca6f213da1a88e879d3,Spotify oEmbed thumbnail_url,,breaking news | Casual Lady | a girl like me | I’ve seen ur ex | new friends,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Febuary,https://open.spotify.com/artist/4CwzptvBGg45GGh2a5yOOh,Friday,Hardcore / Punk,Hardcore punk band.,,0,,,,,Turnstile; Ceremony; Lambrini Girls; Die Spitz; Suicidal Tendencies,https://image-cdn-fa.spotifycdn.com/image/ab676161000051742f39c2eb1b0f8bbb2bb386f2,Spotify oEmbed thumbnail_url,,No Way... | Bitches Love My White Belt | Brand New Shoes | I'd Rather Burn Than Fall | Kill Yourself If You Have Tinder,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Bob Baker Marionettes,,Friday,Art / Performance,Beloved LA puppet art troupe — a Coachella institution.,,0,,,,,,,,"No Spotify artist URL in source row, so no Spotify image was added.",,,No Spotify artist URL in source row.
Youna,https://open.spotify.com/artist/4Y7OfWwgt2hCgZfyPMFUzC,Friday,Pop / R&B,Emerging R&B/pop artist.,,0,,,,,Justin Bieber; Dijon; Sabrina Carpenter; Teddy Swims; KATSEYE,https://image-cdn-ak.spotifycdn.com/image/ab676161000051746132b05c17cc3dbdfcbd5fb3,Spotify oEmbed thumbnail_url,,Dark Side - Extended Mix | Dark Side - Radio Edit | Serotonin | Dopamine | Escape The Reality,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Sahar Z,https://open.spotify.com/artist/47YdOgVXS5hzu5spoFFpHU,Friday,Techno / DJ,Israeli techno DJ.,,0,,,,,Boys Noize; Green Velvet × AYYBO; Armin van Buuren × Adam Beyer; Sander Kleinenberg; REZZ,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174f57903aee2dcd3f850b57741,Spotify oEmbed thumbnail_url,,Ollie | Back In My Arms - Shai T Remix | Temporary Sanity - Cornucopia Remix | Ollie | Lalitha Ashtotram - Audio Junkies & Sahar Z Remix,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Justin Bieber,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,Saturday,R&B / Pop,Headliner. Swag era. First major US concert since 2022. Live debut of Swag and Swag II.,YUKON|Daisies|First Place|Butterflies|Go Baby|Peaches|Ghost|Love Yourself|Sorry|What Do You Mean?|Stay (with The Kid LAROI)|No Pressure|Company|Purpose|Life Is Worth Living|Where Are Ü Now|Boyfriend|Baby,18,YUKON|Daisies|First Place|Butterflies|Go Baby|Peaches|Ghost|Love Yourself|Sorry|What Do You Mean?|Stay (with The Kid LAROI)|No Pressure|Company|Purpose|Life Is Worth Living|Where Are Ü Now|Boyfriend|Baby,,,,Youna; Dijon; Sabrina Carpenter; Teddy Swims; KATSEYE,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174af20f7db5288bce9beede034,Spotify oEmbed thumbnail_url,,DAISIES | Sorry | Love Yourself | Confident | Beauty And A Beat,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
The Strokes,https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V,Saturday,Indie Rock,Festival circuit mainstay — still the best indie rock band live.,Bad Decisions|Reptilia|The Modern Age|You Only Live Once|Hard to Explain|Call It Fate Call It Karma|Under Cover of Darkness|Juicebox|Welcome to Japan|Is This It|One Way Trigger|Under Control|Last Nite|Someday|New York City Cops|The Adults Are Talking,16,Bad Decisions|Reptilia|The Modern Age|You Only Live Once|Hard to Explain|Call It Fate Call It Karma|Under Cover of Darkness|Juicebox|Welcome to Japan|Is This It|One Way Trigger|Under Control|Last Nite|Someday|New York City Cops|The Adults Are Talking,,,,Carolina Durante; Interpol; Geese; Blondshell; Wet Leg,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174c3b137793230f4043feb0089,Spotify oEmbed thumbnail_url,,The Adults Are Talking | Selfless | Last Nite | Reptilia | Someday,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
GIVĒON,https://open.spotify.com/artist/4fxd5Ee7UefO4CUXgwJ7IP,Saturday,R&B / Soul,Deep baritone soul — Heartbreak Anniversary gives everyone feelings.,Heartbreak Anniversary|For Tonight|Take Time|Like I Want You|City of Angels|The Beach|Stuck on You|Favorite Mistake|Keep It Far,9,Heartbreak Anniversary|For Tonight|Take Time|Like I Want You|City of Angels|The Beach|Stuck on You|Favorite Mistake|Keep It Far,,,,Teddy Swims; Dijon; Youna; Justin Bieber; Swae Lee,https://image-cdn-fa.spotifycdn.com/image/ab6761610000517448769fa9ef3b5f24af90a09d,Spotify oEmbed thumbnail_url,,Peaches (feat. Daniel Caesar & Giveon) | Heartbreak Anniversary | Like I Want You | Chicago Freestyle (feat. Giveon) | TWENTIES,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Addison Rae,https://open.spotify.com/artist/4gvjmrtzydbMpyJaXUtwvP,Saturday,Pop / Dance,The Addison Tour — fully legitimized herself. Brat pop energy.,Fame Is a Gun|I Got It Bad|New York|Summer Forever|2 Die 4|Von Dutch (Remix)|High Fashion|Aquamarine|Headphones On|Money Is Everything|Times Like These|Obsessed|Diet Pepsi,13,Fame Is a Gun|I Got It Bad|New York|Summer Forever|2 Die 4|Von Dutch (Remix)|High Fashion|Aquamarine|Headphones On|Money Is Everything|Times Like These|Obsessed|Diet Pepsi,,,,Sabrina Carpenter; KATSEYE; fakemink; Joost; Jessica Brankka,https://image-cdn-fa.spotifycdn.com/image/ab676161000051748aaca79d5544dc02bea2b6b2,Spotify oEmbed thumbnail_url,,Fame is a Gun | Diet Pepsi | Headphones On | Aquamarine | High Fashion,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Labrinth,https://open.spotify.com/artist/2feDdbD5araYcm6JhFHHw7,Saturday,Electronic / Art Pop,Euphoria composer. Emotionally devastating live show.,Mount Everest|Jealous|Still Don't Know My Name|All for Us|I'm Tired|Climb|Express Yourself|Treatment|Let It Be|Miracle,10,Mount Everest|Jealous|Still Don't Know My Name|All for Us|I'm Tired|Climb|Express Yourself|Treatment|Let It Be|Miracle,,,,Noga Erez; FKA twigs; Oklou; fakemink; Ninajirachi,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174e06bc05ace04b055edeeff8d,Spotify oEmbed thumbnail_url,,"Mount Everest | All For Us | Formula | Genius (feat. Sia, Diplo, and Labrinth) | Never Felt So Alone",Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
SOMBR,https://open.spotify.com/artist/4G9NDjRyZFDlJKMRL8hx3S,Saturday,Alt Pop / Indie,"Rising alt-pop act — emotional, anthemic.",i wish i knew how to quit you|savior|we never dated|perfume|do i ever cross your mind|come closer|caroline|would've been you|undressed|canal street|crushing|under the mat|back to friends|12 to 12,14,i wish i knew how to quit you|savior|we never dated|perfume|do i ever cross your mind|come closer|caroline|would've been you|undressed|canal street|crushing|under the mat|back to friends|12 to 12,,,,The xx; Ethel Cain; Joyce Manor; CMAT; Alex G,https://image-cdn-ak.spotifycdn.com/image/ab6761610000517478edaa6468cae153565c2c97,Spotify oEmbed thumbnail_url,,back to friends | 12 to 12 | Homewrecker | undressed | we never dated,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
David Byrne,https://open.spotify.com/artist/20vuBdFblWUo2FCOvUzusB,Saturday,Art Rock / Talking Heads,Who Is the Sky? Tour — theatrical Broadway-style spectacle. Psycho Killer returns!,Heaven|Everybody Laughs|And She Was|Strange Overtones|Houses in Motion|T Shirt|(Nothing but) Flowers|This Must Be the Place (Naive Melody)|What Is the Reason for It?|Like Humans Do|Don't Be Like That|Independence Day|Slippery People|My Apartment Is My Friend|Hard Times|Psycho Killer|Life During Wartime|Once in a Lifetime|Everybody's Coming to My House|Burning Down the House,20,Heaven|Everybody Laughs|And She Was|Strange Overtones|Houses in Motion|T Shirt|(Nothing but) Flowers|This Must Be the Place (Naive Melody)|What Is the Reason for It?|Like Humans Do|Don't Be Like That|Independence Day|Slippery People|My Apartment Is My Friend|Hard Times|Psycho Killer|Life During Wartime|Once in a Lifetime|Everybody's Coming to My House|Burning Down the House,,,,,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174da1661b56190449e92327438,Spotify oEmbed thumbnail_url,,"Strange Overtones | Everybody Laughs | What Is The Reason For It? | Glass, Concrete & Stone | Open The Door (from the Netflix Film ""The Twits"")",Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Interpol,https://open.spotify.com/artist/3WaJSfKnzc65VDgmj2zU8B,Saturday,Post-Punk / Indie Rock,Antics 20th Anniversary Tour — full album + classics. Legendary.,Next Exit|Evil|Narc|Take You on a Cruise|Slow Hands|Not Even Jail|Public Pervert|C'mere|Length of Love|A Time to Be So Small|Pioneer to the Falls|No I in Threesome|The Rover|Rest My Chemistry|My Desire|Mammoth|Roland|All the Rage Back Home|Obstacle 1|The New|PDA,21,Next Exit|Evil|Narc|Take You on a Cruise|Slow Hands|Not Even Jail|Public Pervert|C'mere|Length of Love|A Time to Be So Small|Pioneer to the Falls|No I in Threesome|The Rover|Rest My Chemistry|My Desire|Mammoth|Roland|All the Rage Back Home|Obstacle 1|The New|PDA,,,,Geese; Glitterer; Carolina Durante; The Strokes; Blondshell,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174c31f8e7aad462874455cf070,Spotify oEmbed thumbnail_url,,Evil | Obstacle 1 | Untitled | Rest My Chemistry | C'mere,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Alex G,https://open.spotify.com/artist/6lcwlkAjBPSKnFBZjjZFJs,Saturday,Indie / Folk-Rock,"Headless Horseman energy — quirky, emotional, cult-classic set.",Louisiana|Gretel|June Guitar|Runner|Real Thing|Beam Me Up|Afterlife|Oranges|Bug|Kicker|Brick|Horse|Blessing|Immunity|Logan Hotel|Is It Still You in There?|Bounce Boy|Spinning|Kute|Headlights|Far and Wide|Proud|Gnaw|Mis|Sarah,25,Louisiana|Gretel|June Guitar|Runner|Real Thing|Beam Me Up|Afterlife|Oranges|Bug|Kicker|Brick|Horse|Blessing|Immunity|Logan Hotel|Is It Still You in There?|Bounce Boy|Spinning|Kute|Headlights|Far and Wide|Proud|Gnaw|Mis|Sarah,,,,Royel Otis; The xx; Ethel Cain; Joyce Manor; CMAT,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174cfa32469a372188d27bd17b7,Spotify oEmbed thumbnail_url,,Treehouse | Sarah | Mary | Harvey | Mis,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
